1	7
1	179
1	190
1	303
1	452
1	482
1	587
1	685
1	697
1	729
1	768
1	937
2	30
2	165
2	222
2	252
2	357
2	427
2	467
2	470
2	486
2	489
2	620
2	933
2	955
3	43
3	323
3	476
3	500
3	561
3	580
3	582
3	732
3	860
3	870
3	921
3	951
4	91
4	285
4	333
4	369
4	501
4	545
4	595
4	600
4	815
5	81
5	142
5	296
5	358
5	372
5	623
5	737
5	771
5	980
6	219
6	431
6	456
6	613
6	640
6	791
6	910
7	166
7	224
7	440
7	521
7	628
7	638
7	660
7	680
7	712
7	912
7	923
8	33
8	93
8	235
8	554
8	707
8	820
8	952
9	246
9	319
9	451
9	665
9	789
9	924
10	25
10	71
10	130
10	370
10	639
10	721
10	737
10	876
10	883
10	895
11	87
11	177
11	184
11	260
11	404
11	489
11	544
11	561
11	631
11	810
11	827
11	880
12	319
12	336
12	425
12	744
12	763
12	802
12	973
13	485
13	868
13	926
14	44
14	115
14	281
14	777
14	907
14	935
15	30
15	135
15	180
15	196
15	389
15	474
15	515
15	568
15	701
15	765
15	812
15	964
15	971
16	382
16	401
16	453
16	552
16	947
17	28
17	151
17	196
17	265
17	357
17	581
17	611
17	658
17	795
17	979
18	189
18	304
18	313
18	355
18	383
18	411
18	620
18	947
18	958
19	175
19	198
19	346
19	389
19	412
19	451
19	552
19	629
19	698
20	84
20	288
20	398
20	532
20	589
20	619
20	624
20	936
21	160
21	507
21	598
21	634
21	666
21	763
21	841
21	930
22	134
22	223
22	277
22	347
22	375
22	728
22	846
23	245
23	667
23	741
23	898
24	102
24	182
24	211
24	249
24	292
24	783
24	821
24	842
24	936
25	105
25	254
25	373
25	420
25	501
25	533
25	613
25	716
25	867
26	115
26	201
26	326
26	464
26	517
26	566
26	711
26	789
27	83
27	169
27	275
27	406
27	422
27	753
27	814
27	822
27	861
28	85
28	260
28	276
28	392
28	526
28	566
28	571
28	576
28	606
28	670
28	778
28	841
28	948
29	70
29	85
29	120
29	135
29	195
29	299
29	557
29	837
29	999
30	100
30	302
30	556
30	805
30	960
31	155
31	312
31	321
31	486
31	742
31	783
31	878
32	399
32	812
32	823
32	824
32	892
33	429
33	512
33	865
33	880
33	917
34	244
34	259
34	315
34	555
34	665
34	696
34	825
34	861
34	934
35	92
35	186
35	300
35	630
35	698
35	839
35	948
36	658
36	664
36	878
36	903
36	998
37	136
37	363
37	614
37	749
37	806
37	991
38	251
38	323
38	385
38	623
38	666
38	731
38	778
38	812
38	835
38	958
39	66
39	84
39	233
39	241
39	293
39	493
39	570
39	958
39	988
40	128
40	152
40	161
40	252
40	477
40	497
40	547
40	586
40	733
40	926
41	65
41	76
41	428
41	484
41	613
41	646
41	746
41	861
41	948
42	246
42	287
42	391
42	504
42	543
42	603
42	664
42	676
43	221
43	385
43	847
43	870
43	886
43	937
44	217
44	282
44	294
44	416
44	585
44	666
44	668
45	323
45	345
45	368
45	422
45	551
45	593
45	773
45	774
45	787
45	957
46	255
46	444
46	603
46	722
46	953
47	172
47	606
47	812
47	884
47	891
47	933
48	149
48	354
48	376
48	406
48	539
48	578
48	635
48	880
49	531
49	577
49	631
49	655
49	689
49	859
50	104
50	130
50	184
50	265
50	423
50	909
51	191
51	309
51	322
51	472
51	846
51	887
52	104
52	106
52	136
52	526
52	586
52	621
52	664
52	676
52	710
52	775
52	906
53	70
53	106
53	108
53	116
53	151
53	192
53	359
53	486
53	519
53	575
53	589
53	651
53	783
53	838
53	845
53	919
53	972
54	222
54	272
54	276
54	302
54	369
54	396
54	478
54	581
54	654
55	268
55	367
55	700
55	715
55	762
55	947
55	967
56	250
56	397
56	739
56	836
57	347
58	262
58	342
58	382
58	685
58	827
58	891
58	899
59	98
59	271
59	301
59	327
59	435
59	687
59	697
59	993
60	406
60	741
60	887
61	243
61	447
61	630
61	633
61	699
61	771
62	132
62	157
62	275
62	353
62	412
62	614
62	647
62	702
62	905
63	340
63	451
63	582
63	688
63	773
63	963
64	76
64	298
64	397
64	429
64	551
64	902
65	135
65	219
65	242
65	266
65	560
65	742
65	807
65	823
65	861
65	937
66	68
66	76
66	79
66	167
66	229
66	285
66	390
66	409
66	687
66	788
66	983
67	108
67	286
67	289
67	771
67	783
67	891
68	232
68	403
68	420
68	561
68	587
68	597
68	892
69	316
69	712
69	750
70	93
70	149
70	365
70	508
70	782
70	783
70	937
70	975
71	164
71	295
71	316
71	366
71	652
71	696
71	785
71	824
71	903
71	982
71	984
72	92
72	272
72	827
72	832
72	869
73	360
73	453
73	486
73	502
73	639
73	664
73	885
73	899
74	366
74	391
74	500
74	540
74	743
74	751
74	1000
75	150
75	159
75	163
75	180
75	403
75	793
76	163
76	272
76	376
76	402
76	573
76	849
76	994
77	148
77	195
77	290
77	788
77	946
78	122
78	136
78	228
78	245
78	434
78	646
78	679
78	704
79	161
79	209
79	351
79	439
79	601
79	783
79	818
79	849
79	911
79	963
80	317
80	469
80	486
80	727
80	753
81	107
81	194
81	196
81	315
81	593
81	763
81	836
81	961
81	963
82	202
82	324
82	366
82	420
82	581
82	677
82	961
82	989
83	185
83	252
83	282
83	315
83	597
83	612
83	615
83	643
83	692
83	781
83	848
83	993
83	997
84	179
84	310
